INFO 2024-11-20 12:46:17,417 basehttp "GET /static/froala_editor/css/plugins/code_view.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,420 basehttp "GET /static/froala_editor/css/plugins/colors.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,425 basehttp "GET /static/froala_editor/css/plugins/emoticons.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,427 basehttp "GET /static/froala_editor/css/plugins/draggable.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,429 basehttp "GET /static/froala_editor/css/plugins/file.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,431 basehttp "GET /static/froala_editor/css/plugins/fullscreen.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,433 basehttp "GET /static/froala_editor/css/plugins/help.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,434 basehttp "GET /static/froala_editor/css/plugins/image.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,441 basehttp "GET /static/froala_editor/css/plugins/image_manager.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,441 basehttp "GET /static/froala_editor/css/plugins/line_breaker.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,445 basehttp "GET /static/froala_editor/css/plugins/special_characters.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,445 basehttp "GET /static/froala_editor/css/plugins/quick_insert.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,450 basehttp "GET /static/froala_editor/css/plugins/video.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,452 basehttp "GET /static/froala_editor/css/plugins/table.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,460 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,464 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,481 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-20 12:46:17,689 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,695 basehttp "GET /static/froala_editor/js/plugins/align.min.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,698 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,700 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,702 basehttp "GET /static/froala_editor/js/plugins/char_counter.min.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,703 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,707 basehttp "GET /static/froala_editor/js/plugins/code_beautifier.min.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,708 basehttp "GET /static/froala_editor/js/froala_editor.min.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,710 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,714 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,719 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,720 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,725 basehttp "GET /static/froala_editor/js/plugins/colors.min.js HTTP/1.1" 304 0
